小区名|类型|城市|城区|商圈|地址|年代|均价|采集时间|链接
新街口外大街10号院|住宅|北京|西城|积水潭|西城-积水潭 北京师范大学东门对面|1994年建成|124620元/㎡|2017-02-19 22:29:44.6261299|http://xjkwdj10hy.fang.com/
文慧园1号楼|住宅|北京|西城|积水潭|西城-积水潭 文慧园1号楼|2002年建成|74222元/㎡|2017-02-19 22:29:44.7761385|http://wenhuiyuan1haolou.fang.com/
板桥三条|住宅|北京|西城|积水潭|西城-积水潭 新街口北大街东板桥三条|2000年建成|93387元/㎡|2017-02-19 22:29:44.8091404|http://banqiaosantiao.fang.com/
文慧园8号楼|住宅|北京|西城|积水潭|西城-积水潭 北京市西城区文慧园斜街文慧园8号楼|2000年建成|84195元/㎡|2017-02-19 22:29:44.8431424|http://wenhuiyuan8haolou.fang.com/
邱家胡同|住宅|北京|西城|积水潭|西城-积水潭 新街口东街南侧邱家胡同|1989年建成|105238元/㎡|2017-02-19 22:29:44.8801445|http://qiujiahutong.fang.com/
新街口大七条15号院|住宅|北京|西城|积水潭|西城-积水潭 新街口大七条15号院|2000年建成|83296元/㎡|2017-02-19 22:29:44.9091461|http://xjkdqt15hy.fang.com/
罗儿胡同|住宅|北京|西城|积水潭|西城-积水潭 新街口积水潭德内大街|2000年建成|88499元/㎡|2017-02-19 22:29:44.9391479|http://luoerhutong.fang.com/
新街口外大街甲28号院|住宅|北京|西城|积水潭|西城-积水潭 西城区新街口外大街28号院|2000年建成|119791元/㎡|2017-02-19 22:29:44.9701496|http://xjkwdjj28hy.fang.com/
板桥头条|住宅|北京|西城|积水潭|西城-积水潭 新街口北大街东板桥头条|2000年建成|109628元/㎡|2017-02-19 22:29:45.0011514|http://banqiaotoutiao.fang.com/
辛勤胡同|住宅|北京|西城|积水潭|西城-积水潭 北京市西城区辛勤胡同,积水潭医院东侧|1984年建成|88557元/㎡|2017-02-19 22:29:45.0271529|http://xinqinhutong.fang.com/
中海凯旋|住宅|北京|西城|金融街|西城-金融街 二龙路西街,太平桥98号|2004年建成|154279元/㎡|2017-02-19 22:29:47.4312904|http://zhonghaikaixuan.fang.com/
西城晶华|住宅|北京|西城|金融街|西城-金融街 金融街太平桥大街8号(城铁阜成门站东南6..|2008年建成|151873元/㎡|2017-02-19 22:29:47.4642923|http://xichengjinghua2.fang.com/
丰汇园|住宅|北京|西城|金融街|西城-金融街 太平桥大街84号(政协礼堂斜对面)|2003年建成|165350元/㎡|2017-02-19 22:29:47.4962941|http://fenghuiyuan.fang.com/
丰侨公寓|住宅|北京|西城|金融街|西城-金融街 太平桥大街丰融园15号|2005年建成|172765元/㎡|2017-02-19 22:29:47.5302961|http://fengqiaogongyu.fang.com/
万通新世界中心|写字楼|北京|西城|金融街|西城-金融街 阜成门外大街2号|1998年建成|34408元/㎡|2017-02-19 22:29:47.5702983|http://wantongxinshijie.fang.com/
太平桥大街6号|住宅|北京|西城|金融街|西城-金融街 太平桥大街6号|2000年建成|113912元/㎡|2017-02-19 22:29:47.6053003|http://taipingqiaodajie6hao.fang.com/
远洋大厦|写字楼|北京|西城|金融街|西城-金融街 复兴门内大街158号|1999年建成|104786元/㎡|2017-02-19 22:29:47.6403023|http://yuanyangdasha010.fang.com/
京畿道小区|住宅|北京|西城|金融街|西城-金融街 中京畿道与太平桥大街路口以东100米|1994年建成|154503元/㎡|2017-02-19 22:29:47.6753044|http://jingjidaoxiaoqu.fang.com/
北京尊府|住宅|北京|西城|金融街|西城-金融街 闹市口大街西侧|2009年建成|173677元/㎡|2017-02-19 22:29:47.7123065|http://beijingzunfu.fang.com/
建邦·礼仕阁|住宅|北京|西城|金融街|西城-金融街 南礼士路19号|2010年建成|102866元/㎡|2017-02-19 22:29:47.7463084|http://lishigejb.fang.com/
投资广场|写字楼|北京|西城|金融街|西城-金融街 金融大街27号|1998年建成|60000元/㎡|2017-02-19 22:29:47.7793103|http://touziguangchang.fang.com/
灵境胡同|住宅|北京|西城|金融街|西城-金融街 西单北大街东侧灵境胡同|1982年建成|148056元/㎡|2017-02-19 22:29:47.9383194|http://lingjinghutong.fang.com/
丰融园|住宅|北京|西城|金融街|西城-金融街 太平桥大街45号|2004年建成|182656元/㎡|2017-02-19 22:29:47.9703212|http://fengrongyuan.fang.com/
丰汇时代写字楼|写字楼|北京|西城|金融街|西城-金融街 太平桥大街84号|2008年建成|89893元/㎡|2017-02-19 22:29:48.0043232|http://fenghuishidai.fang.com/office/
西单上国阙|住宅|北京|西城|金融街|西城-金融街 西单时代广场 中组部南200米路东|2010年建成|129059元/㎡|2017-02-19 22:29:48.0403252|http://shangguoquexd.fang.com/esf/
物华大厦|住宅|北京|西城|金融街|西城-金融街 三里河车公庄大街4号|1998年建成|47898元/㎡|2017-02-19 22:29:48.0723271|http://wuhuadasha.fang.com/
二龙路小区|住宅|北京|西城|金融街|西城-金融街 金融街二龙路|1984年建成|121631元/㎡|2017-02-19 22:29:48.1023288|http://erlongluxiaoqu.fang.com/
金宸公寓|住宅|北京|西城|金融街|西城-金融街 广成街4号院|2003年建成|135019元/㎡|2017-02-19 22:29:48.1373308|http://jinchengongyu.fang.com/
文昌胡同|住宅|北京|西城|金融街|西城-金融街 闹市口大街东侧文昌胡同|1900年建成|140488元/㎡|2017-02-19 22:29:48.1713327|http://wenchanghutong.fang.com/
大院胡同|住宅|北京|西城|金融街|西城-金融街 西四南大街西侧大院胡同|2000年建成|125671元/㎡|2017-02-19 22:29:48.2083348|http://dayuanhutong.fang.com/
月坛大厦|写字楼|北京|西城|金融街|西城-金融街 月坛北大街2号(邮编:100045)|1998年建成|67078元/㎡|2017-02-19 22:29:50.3274560|http://yuetandasha.fang.com/
安平巷胡同|住宅|北京|西城|金融街|西城-金融街 赵登禹路西侧安平巷胡同|2000年建成|129433元/㎡|2017-02-19 22:29:50.3734587|http://anpingxianghutong.fang.com/
大乘巷胡同|住宅|北京|西城|金融街|西城-金融街 官园公园东侧,南草场街|1989年建成|115525元/㎡|2017-02-19 22:29:50.4044604|http://dachengxianghutong.fang.com/
新盛大厦|写字楼|北京|西城|金融街|西城-金融街 金融大街5号|2008年建成|107724元/㎡|2017-02-19 22:29:50.4414626|http://xinshengdasha010.fang.com/
羊肉胡同120号|住宅|北京|西城|金融街|西城-金融街 砖塔胡同北侧羊肉胡同120号|2000年建成|120875元/㎡|2017-02-19 22:29:50.4764646|http://yrht120h.fang.com/
文华胡同|住宅|北京|西城|金融街|西城-金融街 文华胡同|1900年建成|159950元/㎡|2017-02-19 22:29:50.5064663|http://wenhuahutong.fang.com/
建威大厦|写字楼|北京|西城|金融街|西城-金融街 南礼士路66号|1996年建成|57648元/㎡|2017-02-19 22:29:50.5674698|http://jianweidasha010.fang.com/
五栋大楼写字楼|写字楼|北京|西城|金融街|西城-金融街 车公庄大街市委党校对面|2003年建成|45113元/㎡|2017-02-19 22:29:50.5994716|http://wudongdalou.fang.com/office/
富凯大厦|写字楼|北京|西城|金融街|西城-金融街 金融街19号|2001年建成|136523元/㎡|2017-02-19 22:29:50.6324735|http://fukaidasha.fang.com/
金亚光大厦|写字楼|北京|西城|金融街|西城-金融街 金融大街1号(邮编:100037)|1900年建成|53187元/㎡|2017-02-19 22:29:50.8394853|http://jinyaguangdasha.fang.com/
WHOSE(恒奥中心)|写字楼|北京|西城|金融街|西城-金融街 金融街E3地块(邮编:100032)|2010年建成|75611元/㎡|2017-02-19 22:29:50.8694870|http://whosehengaozhongxin.fang.com/
西城新龙大厦|写字楼|北京|西城|金融街|西城-金融街 二龙路甲33号|1900年建成|29776元/㎡|2017-02-19 22:29:50.9014889|http://xichengxinlongdasha.fang.com/
白云时代大厦写字楼|写字楼|北京|西城|金融街|西城-金融街 莲花池东路5号|2003年建成|50000元/㎡|2017-02-19 22:29:50.9344908|http://baiyunshidaidasha.fang.com/office/
阜成大厦|写字楼|北京|西城|金融街|西城-金融街 北京市西城区北礼士路甲98|2001年建成|40889元/㎡|2017-02-19 22:29:50.9704928|http://fuchengdasha010.fang.com/
国际企业大厦|写字楼|北京|西城|金融街|西城-金融街 金融大街35号|1996年建成|80000元/㎡|2017-02-19 22:29:51.0024947|http://guojiqiyedasha.fang.com/
海通大厦|写字楼|北京|西城|金融街|西城-金融街 南礼士路甲3号|2000年建成|37506元/㎡|2017-02-19 22:29:51.0354965|http://haitongdasha010.fang.com/
金融城国际商业大道|商铺|北京|西城|金融街|西城-金融街 西二环官园桥东南角(西直门南小街)|1900年建成|105076元/㎡|2017-02-19 22:29:51.0644982|http://cpark.fang.com/shop/
泰康国际大厦写字楼|写字楼|北京|西城|金融街|西城-金融街 金融街武定候街2号|2007年建成|88990元/㎡|2017-02-19 22:29:52.7195929|http://taikangguojidasha.fang.com/
物华大厦写字楼|写字楼|北京|西城|金融街|西城-金融街 西城区车公庄大街甲4号|1998年建成|47927元/㎡|2017-02-19 22:29:52.7445943|http://wuhuadasha.fang.com/office/
富成大厦|写字楼|北京|西城|金融街|西城-金融街 阜成门外大街|1998年建成|36837元/㎡|2017-02-19 22:29:52.7695957|http://fuchengdasha2.fang.com/
丰融国际中心|写字楼|北京|西城|金融街|西城-金融街 太平桥大街金融街核心区|2007年建成|35605元/㎡|2017-02-19 22:29:52.7945972|http://fengrongguojizhongxin.fang.com/
金融街中心|写字楼|北京|西城|金融街|西城-金融街 金融大街甲9号|2007年建成|68706元/㎡|2017-02-19 22:29:52.8215987|http://jinrongjiezhongxin.fang.com/
金融街5号楼|住宅|北京|西城|金融街|西城-金融街 金融大街33号|2000年建成|137197元/㎡|2017-02-19 22:29:52.8506004|http://jinrongjie5haolou.fang.com/
平安国企大厦|写字楼|北京|西城|金融街|西城-金融街 金融大街35号|2001年建成|69775元/㎡|2017-02-19 22:29:52.8846023|http://pinganguoqidasha.fang.com/
四川大厦|写字楼|北京|西城|金融街|西城-金融街 阜外大街1号|2000年建成|30318元/㎡|2017-02-19 22:29:52.9176042|http://sichuandasha.fang.com/
通泰大厦|写字楼|北京|西城|金融街|西城-金融街 金融大街33号|1999年建成|119395元/㎡|2017-02-19 22:29:52.9506061|http://tongtaidasha010.fang.com/
月新大厦|写字楼|北京|西城|金融街|西城-金融街 西城区月坛南街14号|2002年建成|40115元/㎡|2017-02-19 22:29:52.9856081|http://yuexindasha010.fang.com/
云梯胡同小区|住宅|北京|西城|金融街|西城-金融街 辟才胡同南侧|1998年建成|132075元/㎡|2017-02-19 22:29:53.0186100|http://yuntihutongxiaoqu.fang.com/
真武家园|住宅|北京|西城|金融街|西城-金融街 真武路二条南侧|1900年建成|111793元/㎡|2017-02-19 22:29:53.1686185|http://zhenwujiayuan.fang.com/
兵月写字楼|写字楼|北京|西城|金融街|西城-金融街 西城区月坛南街|1900年建成|29969元/㎡|2017-02-19 22:29:53.2306221|http://bingyuexiezilou.fang.com/
北京国际金融中心|写字楼|北京|西城|金融街|西城-金融街 西城区金融街|2000年建成|59351元/㎡|2017-02-19 22:29:53.3256275|http://beijingguojijinrongzhongxin.fang.com/
丁字胡同|住宅|北京|西城|金融街|西城-金融街 太平桥大街东侧丁字胡同|2000年建成|121144元/㎡|2017-02-19 22:29:53.4346338|http://dingzihutong.fang.com/
大成大厦|写字楼|北京|西城|金融街|西城-金融街 北京市西城区宣武门西大街甲127号|2000年建成|55055元/㎡|2017-02-19 22:29:55.0247247|http://dachengdasha010.fang.com/
大麻线胡同|住宅|北京|西城|金融街|西城-金融街 政协礼堂北侧大麻线胡同|1900年建成|76575元/㎡|2017-02-19 22:29:55.0607268|http://damaxianhutong.fang.com/
F1大厦|写字楼|北京|西城|金融街|西城-金融街 金融街F区1号地(金平大厦锦安项目)|2005年建成|60003元/㎡|2017-02-19 22:29:55.1557322|http://f1dasha.fang.com/
丰侨公寓商业|商铺|北京|西城|金融街|西城-金融街 太平桥大街(邮编:100051)|1900年建成|59836元/㎡|2017-02-19 22:29:55.2157356|http://fengqiaogongyu.fang.com/shop/
丰侨大厦|写字楼|北京|西城|金融街|西城-金融街 太平桥大街北丰危改小区公建3号楼|2005年建成|153028元/㎡|2017-02-19 22:29:55.2497376|http://fengqiaodasha010.fang.com/
富通大厦写字楼|写字楼|北京|西城|金融街|西城-金融街 车公庄大街乙1号|1900年建成|41031元/㎡|2017-02-19 22:29:55.2827395|http://futongdasha.fang.com/office/
丰铭国际中心|写字楼|北京|西城|金融街|西城-金融街 丰盛胡同18号|1900年建成|86342元/㎡|2017-02-19 22:29:55.3127412|http://fengmingguojizhongxin.fang.com/
国际金融大厦|写字楼|北京|西城|金融街|西城-金融街 金融街A区6号|1900年建成|5656元/㎡|2017-02-19 22:29:55.3427429|http://guojijinrongdasha010.fang.com/
国润大厦|写字楼|北京|西城|金融街|西城-金融街 阜外大街4号|2002年建成|61918元/㎡|2017-02-19 22:29:55.5007519|http://guorundasha.fang.com/
官园综合楼|写字楼|北京|西城|金融街|西城-金融街 官园桥东南平安大街南|1900年建成|60782元/㎡|2017-02-19 22:29:55.5947573|http://guanyuanzonghelou.fang.com/
华实大厦|写字楼|北京|西城|金融街|西城-金融街 金融街乙16号|1900年建成|24009元/㎡|2017-02-19 22:29:55.7517663|http://huashidasha.fang.com/
华通大厦|写字楼|北京|西城|金融街|西城-金融街 车公庄西路甲19号|2004年建成|37046元/㎡|2017-02-19 22:29:57.4228619|http://huatongdasha010.fang.com/
航宇大厦|写字楼|北京|西城|金融街|西城-金融街 金融街F区8号|2008年建成|37335元/㎡|2017-02-19 22:29:57.5118670|http://hangyudasha.fang.com/
航天金融大厦|写字楼|北京|西城|金融街|西城-金融街 平安大街与赵登禹路交汇处西北角|1900年建成|69000元/㎡|2017-02-19 22:29:57.5738705|http://hangtianjinrongdasha.fang.com/
九鼎大厦|写字楼|北京|西城|金融街|西城-金融街 成方街甲33号|2001年建成|34262元/㎡|2017-02-19 22:29:57.7308795|http://jiudingdasha.fang.com/
金隅大厦|写字楼|北京|西城|金融街|西城-金融街 宣武门西大街129号|1998年建成|41756元/㎡|2017-02-19 22:29:57.8908886|http://jinyudasha010.fang.com/
金树街|商铺|北京|西城|金融街|西城-金融街 金融大街乙9号|2006年建成|27073元/㎡|2017-02-19 22:29:57.9728933|http://jinshujie.fang.com/
金祺大厦|写字楼|北京|西城|金融街|西城-金融街 金融街中心区,金融大街与武定候大街交汇..|1900年建成|58866元/㎡|2017-02-19 22:29:58.0708989|http://jinqidasha.fang.com/
金融街B7大厦|写字楼|北京|西城|金融街|西城-金融街 金融街B区7号地|2003年建成|47283元/㎡|2017-02-19 22:29:58.1199017|http://b7dashajrj.fang.com/
金融大厦|写字楼|北京|西城|金融街|西城-金融街 金融街C区5号地东半部|1900年建成|48995元/㎡|2017-02-19 22:29:58.1509035|http://jinrongdasha010.fang.com/
金阳大厦|写字楼|北京|西城|金融街|西城-金融街 金融大街丁16号|2000年建成|56007元/㎡|2017-02-19 22:29:59.7559953|http://jinyangdasha010.fang.com/
金融街公寓商业楼|写字楼|北京|西城|金融街|西城-金融街 北京市西城区金城坊街1号(全国政协礼堂南..|1900年建成|70025元/㎡|2017-02-19 22:29:59.8960033|http://jinrongjiegongyushangyelou.fang.com/
凯晨世贸中心|写字楼|北京|西城|金融街|西城-金融街 复兴门内大街28号(邮编:100031)|2006年建成|84618元/㎡|2017-02-19 22:29:59.9290052|http://kaichenshimaozhongxin.fang.com/
凯旋大厦|写字楼|北京|西城|金融街|西城-金融街 西直门外大街和三里河路交汇处|1999年建成|31376元/㎡|2017-02-19 22:29:59.9590069|http://kaixuandasha010.fang.com/
南园写字楼|写字楼|北京|西城|金融街|西城-金融街 展览路甲26号|2001年建成|28655元/㎡|2017-02-19 22:30:00.0740135|http://nanyuanxiezilou.fang.com/
平安大厦|写字楼|北京|西城|金融街|西城-金融街 复兴门金融大街23号(邮编:100032)|1998年建成|39974元/㎡|2017-02-19 22:30:00.1250164|http://pingandasha010.fang.com/
平安商务办公楼|写字楼|北京|西城|金融街|西城-金融街 地安门西大街|2000年建成|37149元/㎡|2017-02-19 22:30:00.2720248|http://pinganshangwubangonglou.fang.com/
皮库胡同|住宅|北京|西城|金融街|西城-金融街 西单北大街西侧皮库胡同|2003年建成|77728元/㎡|2017-02-19 22:30:00.3150273|http://pikuhutong.fang.com/
融信国际|写字楼|北京|西城|金融街|西城-金融街 金融大街东侧,北临西兴盛街(邮编:100036..|2007年建成|68464元/㎡|2017-02-19 22:30:00.4100327|http://rongxinguoji.fang.com/
尚信大厦|写字楼|北京|西城|金融街|西城-金融街 西城区佟麟阁路95号|2000年建成|20818元/㎡|2017-02-19 22:30:00.5420403|http://shangxindasha.fang.com/
三道栅栏胡同|住宅|北京|西城|金融街|西城-金融街 西城区太平桥大街以东|1984年建成|108415元/㎡|2017-02-19 22:30:02.1981350|http://sandaozhalanhutong.fang.com/
天恒置业大厦|写字楼|北京|西城|金融街|西城-金融街 阜外大街31号(邮编:100037)|2006年建成|54994元/㎡|2017-02-19 22:30:02.2271367|http://tianhengzhiyedasha.fang.com/
太平洋保险大厦|写字楼|北京|西城|金融街|西城-金融街 太平桥大街丰盛胡同24号|2008年建成|68068元/㎡|2017-02-19 22:30:02.2601386|http://taipingyangbaoxindasha.fang.com/
天宸大厦|写字楼|北京|西城|金融街|西城-金融街 金融街G区4号地|2002年建成|55817元/㎡|2017-02-19 22:30:02.3391431|http://tianchendasha2.fang.com/
鲜明胡同|住宅|北京|西城|金融街|西城-金融街 太平桥大街东侧鲜明胡同|1900年建成|85393元/㎡|2017-02-19 22:30:02.4601500|http://xianminghutong.fang.com/
小珠帘胡同|住宅|北京|西城|金融街|西城-金融街 太平桥大街全国政协委员会东侧|1900年建成|87914元/㎡|2017-02-19 22:30:02.4911518|http://xiaozhulianhutong.fang.com/
鑫茂大厦|写字楼|北京|西城|金融街|西城-金融街 西城区金融街15号|2007年建成|32493元/㎡|2017-02-19 22:30:02.5321541|http://xinmaodasha.fang.com/
兴盛胡同|住宅|北京|西城|金融街|西城-金融街 北京市西城区兴盛胡同|1998年建成|128874元/㎡|2017-02-19 22:30:02.5761566|http://xingshenghutong.fang.com/
西海48文化创意中心|写字楼|北京|西城|金融街|西城-金融街 北京市西城区西海南沿48号|1900年建成|19804元/㎡|2017-02-19 22:30:02.7541668|http://xihai48wenhuachuangyizhongxin.fang.com/
银丰商务大厦|写字楼|北京|西城|金融街|西城-金融街 成方街中国人民银行总行旁|2000年建成|25971元/㎡|2017-02-19 22:30:02.8121701|http://yinfengshangwudasha.fang.com/
远洋银港大厦|写字楼|北京|西城|金融街|西城-金融街 车公庄大街与北礼士路交汇处西北角|1900年建成|27703元/㎡|2017-02-19 22:30:02.8461721|http://yingangdasha.fang.com/
盈泰商务中心|写字楼|北京|西城|金融街|西城-金融街 金融大街8号|2005年建成|49986元/㎡|2017-02-19 22:30:02.8761738|http://yingtaishangwuzhongxin.fang.com/
英蓝国际金融中心|写字楼|北京|西城|金融街|西城-金融街 金融大街7号|2004年建成|48045元/㎡|2017-02-19 22:30:02.9091757|http://yinglanguojijinrongzhongxin.fang.com/
云起时|商铺|北京|西城|金融街|西城-金融街 白云路白云观|2009年建成|40366元/㎡|2017-02-19 22:30:02.9421776|http://yunqishi.fang.com/
盈创大厦|写字楼|北京|西城|金融街|西城-金融街 金融街G区8号|1900年建成|52776元/㎡|2017-02-19 22:30:02.9861801|http://yingchuangdasha.fang.com/
羊肉胡同4号楼|住宅|北京|西城|金融街|西城-金融街 北京西城区羊肉胡同,与太平桥大街路口以..|2000年建成|63575元/㎡|2017-02-19 22:30:03.0181819|http://yangrouhutong4haolou.fang.com/
羊皮市胡同|住宅|北京|西城|金融街|西城-金融街 丰盛胡同北侧|1997年建成|133556元/㎡|2017-02-19 22:30:04.1522468|http://yangpishihutong.fang.com/
中证大厦|写字楼|北京|西城|金融街|西城-金融街 西城区广宁佰街,月坛南桥东侧路北|1900年建成|31892元/㎡|2017-02-19 22:30:04.2822542|http://zhongzhengdasha.fang.com/
卓著中心|写字楼|北京|西城|金融街|西城-金融街 北京市西城区武定侯街6号|2008年建成|69909元/㎡|2017-02-19 22:30:04.3692592|http://zhuozhuzhongxin010.fang.com/
中国人寿中心|写字楼|北京|西城|金融街|西城-金融街 金融大街17号|2009年建成|68045元/㎡|2017-02-19 22:30:04.3972608|http://zhongguorenshouzhongxin.fang.com/
黄寺大街24号院|住宅|北京|西城|六铺炕|西城-六铺炕 黄寺大街24号院|1990年建成|111069元/㎡|2017-02-19 22:30:06.5003811|http://hsdj24jy.fang.com/
六铺炕二区|住宅|北京|西城|六铺炕|西城-六铺炕 安德里北街与六铺炕二巷交叉路口东南侧(..|1985年建成|146345元/㎡|2017-02-19 22:30:06.5333830|http://liupukang010.fang.com/2/
六铺炕一区|住宅|北京|西城|六铺炕|西城-六铺炕 鼓楼外大街西侧安德里北街南|1992年建成|114081元/㎡|2017-02-19 22:30:06.5693850|http://liupukangyiqu.fang.com/
什坊街1号院|住宅|北京|西城|六铺炕|西城-六铺炕 黄寺大街南什坊街1号|2000年建成|110641元/㎡|2017-02-19 22:30:06.6023869|http://shifangjie1haoyuan.fang.com/
六铺炕三区|住宅|北京|西城|六铺炕|西城-六铺炕 安德路北侧,六铺炕二巷西侧|1989年建成|110740元/㎡|2017-02-19 22:30:06.7433950|http://liupukang010.fang.com/3/
大井胡同|住宅|北京|西城|六铺炕|西城-六铺炕 教场口街与大井胡同路口西南角|1983年建成|91504元/㎡|2017-02-19 22:30:06.7823972|http://dajinghutong.fang.com/
安德东里|住宅|北京|西城|六铺炕|西城-六铺炕 安德里北街南侧|1900年建成|125490元/㎡|2017-02-19 22:30:06.8133990|http://andedongli.fang.com/
三不老胡同|住宅|北京|西城|六铺炕|西城-六铺炕 北京市西城区三不老胡同|1990年建成|100195元/㎡|2017-02-19 22:30:06.8474009|http://sanbulaohutong.fang.com/
什坊街5号|住宅|北京|西城|六铺炕|西城-六铺炕 北京市西城区什坊街5号|2000年建成|105092元/㎡|2017-02-19 22:30:06.8784027|http://shifangjie5hao.fang.com/
教场口6号院|住宅|北京|西城|六铺炕|西城-六铺炕 教场口街6号院|2003年建成|113893元/㎡|2017-02-19 22:30:06.9114046|http://jiaochangkou6haoyuan.fang.com/
什坊街2号院|住宅|北京|西城|六铺炕|西城-六铺炕 什坊街2号院|2000年建成|105577元/㎡|2017-02-19 22:30:06.9424064|http://shifangjie2haoyuan.fang.com/
文联宿舍|住宅|北京|西城|六铺炕|西城-六铺炕 北三环中路10号院|2000年建成|115768元/㎡|2017-02-19 22:30:06.9784084|http://wenlian.fang.com/
华枫公寓|住宅|北京|西城|六铺炕|西城-六铺炕 六铺炕一区6号院,安德里中街附近|2000年建成|61580元/㎡|2017-02-19 22:30:07.0104103|http://huafenggongyu.fang.com/
花枝胡同|住宅|北京|西城|六铺炕|西城-六铺炕 北京市西城区花枝胡同|2000年建成|124858元/㎡|2017-02-19 22:30:07.0424121|http://huazhihutong.fang.com/
教场口街|住宅|北京|西城|六铺炕|西城-六铺炕 北京市西城区教场口街|2000年建成|86798元/㎡|2017-02-19 22:30:07.1164163|http://jiaochangkoujie.fang.com/
蓝心公寓|住宅|北京|西城|六铺炕|西城-六铺炕 安德路甲36号楼|2000年建成|63770元/㎡|2017-02-19 22:30:07.1524184|http://lanxingongyu010.fang.com/
总政大院|住宅|北京|西城|六铺炕|西城-六铺炕 鼓楼外大街地铁旁|1991年建成|62352元/㎡|2017-02-19 22:30:07.1864203|http://zongzhengdayuan.fang.com/
复兴门外大街小区|住宅|北京|西城|木樨地|西城-木樨地 复兴门外大街木樨地地铁站两侧50米|1979年建成|95761元/㎡|2017-02-19 22:30:08.8245140|http://fxmwdjxq.fang.com/
木樨地北里|住宅|北京|西城|木樨地|西城-木樨地 白云路路口以西100米(首都博物馆西侧)|1997年建成|103374元/㎡|2017-02-19 22:30:08.8525156|http://muxidibeili.fang.com/
汽北小区|住宅|北京|西城|木樨地|西城-木樨地 白云观街北里与白云路交叉口西北角|1992年建成|96137元/㎡|2017-02-19 22:30:08.8825173|http://bygqbxq.fang.com/
复兴门外大街25号楼|住宅|北京|西城|木樨地|西城-木樨地 复兴门外大街25号楼|2000年建成|71201元/㎡|2017-02-19 22:30:08.9135191|http://fxmwdj25hl.fang.com/
后马厂小区|住宅|北京|西城|木樨地|西城-木樨地 后马厂胡同28号院|1977年建成|180934元/㎡|2017-02-19 22:30:08.9455209|http://houmachangxiaoqu.fang.com/
北小马厂|住宅|北京|西城|木樨地|西城-木樨地 手帕口北街西,北京第十四中学附近|2002年建成|91855元/㎡|2017-02-19 22:30:08.9785228|http://beixiaomachang.fang.com/
公安大学住宅区|住宅|北京|西城|木樨地|西城-木樨地 木樨地南里1号|1997年建成|66129元/㎡|2017-02-19 22:30:09.1385320|http://gongandaxue.fang.com/
世纪茶贸|住宅|北京|西城|马连道|西城-马连道 茶马北街1号院|2007年建成|38336元/㎡|2017-02-19 22:30:10.9936381|http://shijichamao.fang.com/
第三区观邸|住宅|北京|西城|马连道|西城-马连道 马连道胡同一号|2012年建成|49324元/㎡|2017-02-19 22:30:11.0246399|http://disanquguandi.fang.com/esf/
马连道中里一区|住宅|北京|西城|马连道|西城-马连道 马连道路与马连道北街交叉路口东南侧(三..|1995年建成|95163元/㎡|2017-02-19 22:30:11.0556416|http://maliandaozhongli1qu.fang.com/
欧园北欧印象|住宅|北京|西城|马连道|西城-马连道 马连道路80号院|2003年建成|84893元/㎡|2017-02-19 22:30:11.0866434|http://ouyuanbeiouyinxiang.fang.com/
格调|住宅|北京|西城|马连道|西城-马连道 马连道路6号院|2006年建成|91326元/㎡|2017-02-19 22:30:11.1176452|http://gediao010.fang.com/
三义里|住宅|北京|西城|马连道|西城-马连道 马连道北街与马连道路路口以东150米路北|2001年建成|84321元/㎡|2017-02-19 22:30:11.1506471|http://sanyili.fang.com/
红莲北里|住宅|北京|西城|马连道|西城-马连道 马连道南街与红莲路交叉口|1985年建成|95262元/㎡|2017-02-19 22:30:11.2026500|http://honglianbeili.fang.com/
常青藤嘉园|住宅|北京|西城|马连道|西城-马连道 马连道东街2号(红莲路西侧)|2003年建成|92763元/㎡|2017-02-19 22:30:11.2376520|http://changqingtengjiayuan.fang.com/
马连道中里二区|住宅|北京|西城|马连道|西城-马连道 广安门外马连道中里二区|2001年建成|86503元/㎡|2017-02-19 22:30:11.2696539|http://maliandaozhonglierqu.fang.com/
红莲中里|住宅|北京|西城|马连道|西城-马连道 红莲路马连道南路华联后身500米(红莲文体..|1994年建成|85931元/㎡|2017-02-19 22:30:11.3016557|http://honglanzhongli.fang.com/
西环景苑|住宅|北京|西城|马连道|西城-马连道 马连道南街2号|2001年建成|88799元/㎡|2017-02-19 22:30:11.3376578|http://xihuanjingyuan.fang.com/
红莲晴园|住宅|北京|西城|马连道|西城-马连道 广安门外马连道东街15号|2003年建成|90893元/㎡|2017-02-19 22:30:11.3706596|http://honglianqingyuan.fang.com/
依莲轩|住宅|北京|西城|马连道|西城-马连道 西城区广安门外马连道南街1号院|2001年建成|72750元/㎡|2017-02-19 22:30:11.4206625|http://yilianxuan.fang.com/
红莲南里|住宅|北京|西城|马连道|西城-马连道 北京市西城区马连道胡同1号|1985年建成|82605元/㎡|2017-02-19 22:30:11.4566646|http://hongliannanli.fang.com/
信和嘉园|住宅|北京|西城|马连道|西城-马连道 西城区马连道路15号|2006年建成|97592元/㎡|2017-02-19 22:30:11.4876663|http://xinhejiayuan2.fang.com/
馨莲茗园|住宅|北京|西城|马连道|西城-马连道 马连道路甲10号|2001年建成|78800元/㎡|2017-02-19 22:30:11.5196682|http://xinlianmingyuan.fang.com/
康宁居|住宅|北京|西城|马连道|西城-马连道 三路居路101号院|2002年建成|76669元/㎡|2017-02-19 22:30:11.5496699|http://kangningju010.fang.com/
